LayerDate,MonthlyMeanRainfall,LayerName,Year,Month,Fyear,Basin,Region,AnnualMeanRainfall,AnnualLtm,monthly_ltm,MonthlyMeanRainfallPercentileRank,AnnualMeanRainfallPercentileRank,AnnualAnomaly,MonthlyAnomaly,AnnualPercentageOfLtm,MonthlyPercentageOfLtm
1990-07-31T00:00:00Z,5,n3_rainfall.nc,1990,Jul,1991,Burdekin,Burdekin,885,629,19,47,81,256,-14,140.7,26.3
1990-07-31T00:00:00Z,26,n3_rainfall.nc,1990,Jul,1991,Haughton,Burdekin,1683,920,20,77,87,763,6,182.9,130
1990-07-31T00:00:00Z,24,n3_rainfall.nc,1990,Jul,1991,Black,Dry Tropics,2032,1397,23,77,81,635,1,145.5,104.3
1990-07-31T00:00:00Z,18,n3_rainfall.nc,1990,Jul,1991,Ross,Dry Tropics,1779,1051,19,73,81,728,-1,169.3,94.7
1990-07-31T00:00:00Z,13,n3_rainfall.nc,1990,Jul,1991,Don,Mackay Whitsunday Isaac,1951,829,12,70,97,1122,1,235.3,108.3
1990-07-31T00:00:00Z,28,n3_rainfall.nc,1990,Jul,1991,O'Connell,Mackay Whitsunday Isaac,3236,1602,32,63,94,1634,-4,202,87.5
1990-07-31T00:00:00Z,8,n3_rainfall.nc,1990,Jul,1991,Pioneer,Mackay Whitsunday Isaac,3231,1479,35,33,94,1752,-27,218.5,22.9
1990-07-31T00:00:00Z,4,n3_rainfall.nc,1990,Jul,1991,Plane,Mackay Whitsunday Isaac,3100,1506,32,17,97,1594,-28,205.8,12.5
1990-07-31T00:00:00Z,19,n3_rainfall.nc,1990,Jul,1991,Proserpine,Mackay Whitsunday Isaac,2765,1408,29,57,94,1357,-10,196.4,65.5
1990-07-31T00:00:00Z,20,n3_rainfall.nc,1990,Jul,1991,Barron,Wet Tropics,1756,1535,40,20,68,221,-20,114.4,50
1990-07-31T00:00:00Z,55,n3_rainfall.nc,1990,Jul,1991,Daintree,Wet Tropics,1991,2331,54,57,26,-340,1,85.4,101.9
1990-07-31T00:00:00Z,24,n3_rainfall.nc,1990,Jul,1991,Herbert,Wet Tropics,1703,1264,31,40,81,439,-7,134.7,77.4
1990-07-31T00:00:00Z,75,n3_rainfall.nc,1990,Jul,1991,Johnstone,Wet Tropics,3416,3040,111,33,78,376,-36,112.4,67.6
1990-07-31T00:00:00Z,29,n3_rainfall.nc,1990,Jul,1991,Mossman,Wet Tropics,1955,2075,42,37,39,-120,-13,94.2,69
1990-07-31T00:00:00Z,36,n3_rainfall.nc,1990,Jul,1991,Mulgrave,Wet Tropics,2905,2699,85,17,58,206,-49,107.6,42.4
