LayerDate,MonthlyMeanSst,LayerName,Year,Month,Fyear,Region,AnnualMeanSst,AnnualLtm,MonthlyLtm,MonthlyMeanSstPercentileRank,AnnualMeanSstPercentileRank,AnnualAnomaly,MonthlyAnomaly,AnnualPercentageOfLtm,MonthlyPercentageOfLtm
1990-07-01,22.865921390088918,cropped_sst_198501.nc,1990,Jul,1991,Dry Tropics,25.4,26.2,23.5,10,0,-0.8,-0.6,96.9,97.3
1990-07-01,21.787946352574917,cropped_sst_198501.nc,1990,Jul,1991,Mackay Whitsunday Isaac,24.7,25.6,22.6,3.3,0,-0.9,-0.8,96.5,96.4
1990-07-01,23.343880902989245,cropped_sst_198501.nc,1990,Jul,1991,Wet Tropics,25.6,26.5,23.9,16.7,0,-0.9,-0.6,96.6,97.7
1990-08-01,23.35516257143925,cropped_sst_198501.nc,1990,Aug,1991,Dry Tropics,25.4,26.2,23.5,50,0,-0.8,-0.1,96.9,99.4
1990-08-01,22.023126735387304,cropped_sst_198501.nc,1990,Aug,1991,Mackay Whitsunday Isaac,24.7,25.6,22.5,26.7,0,-0.9,-0.5,96.5,97.9
1990-08-01,23.79408847209779,cropped_sst_198501.nc,1990,Aug,1991,Wet Tropics,25.6,26.5,23.9,50,0,-0.9,-0.1,96.6,99.6
1990-09-01,23.46901084930916,cropped_sst_198501.nc,1990,Sep,1991,Dry Tropics,25.4,26.2,24.3,0,0,-0.8,-0.8,96.9,96.6
1990-09-01,22.445975986484243,cropped_sst_198501.nc,1990,Sep,1991,Mackay Whitsunday Isaac,24.7,25.6,23.4,0,0,-0.9,-1,96.5,95.9
1990-09-01,23.982102886434067,cropped_sst_198501.nc,1990,Sep,1991,Wet Tropics,25.6,26.5,24.6,6.7,0,-0.9,-0.6,96.6,97.5
1990-10-01,24.684403804582633,cropped_sst_198501.nc,1990,Oct,1991,Dry Tropics,25.4,26.2,25.5,3.3,0,-0.8,-0.8,96.9,96.8
1990-10-01,23.761207197685135,cropped_sst_198501.nc,1990,Oct,1991,Mackay Whitsunday Isaac,24.7,25.6,24.8,3.3,0,-0.9,-1,96.5,95.8
1990-10-01,25.0826804181729,cropped_sst_198501.nc,1990,Oct,1991,Wet Tropics,25.6,26.5,25.8,3.3,0,-0.9,-0.7,96.6,97.2
1990-11-01,26.60808942117665,cropped_sst_198501.nc,1990,Nov,1991,Dry Tropics,25.4,26.2,26.8,33.3,0,-0.8,-0.2,96.9,99.3
1990-11-01,25.915111016830178,cropped_sst_198501.nc,1990,Nov,1991,Mackay Whitsunday Isaac,24.7,25.6,26.2,20,0,-0.9,-0.3,96.5,98.9
1990-11-01,26.678095657472575,cropped_sst_198501.nc,1990,Nov,1991,Wet Tropics,25.6,26.5,27,20,0,-0.9,-0.3,96.6,98.8
1990-12-01,27.079417365676342,cropped_sst_198501.nc,1990,Dec,1991,Dry Tropics,25.4,26.2,28,6.7,0,-0.8,-0.9,96.9,96.7
1990-12-01,26.58010637175695,cropped_sst_198501.nc,1990,Dec,1991,Mackay Whitsunday Isaac,24.7,25.6,27.4,6.7,0,-0.9,-0.8,96.5,97
1990-12-01,27.20051443533777,cropped_sst_198501.nc,1990,Dec,1991,Wet Tropics,25.6,26.5,28.1,6.7,0,-0.9,-0.9,96.6,96.8
